K	N
800	82
801	84
802	79
803	78
804	68
805	75
806	52
807	69
808	79
809	71
810	79
811	77
812	68
813	68
814	68
815	70
816	83
817	62
818	83
819	81
820	68
821	74
822	66
823	85
824	75
825	79
826	75
827	82
828	73
829	83
830	82
831	61
832	88
833	62
834	78
835	78
836	76
837	79
838	75
839	69
840	84
841	80
842	70
843	83
844	87
845	80
846	80
847	106
848	74
849	87
850	58
851	73
852	76
853	115
854	93
855	69
856	90
857	81
858	69
859	81
860	74
861	94
862	72
863	66
864	84
865	78
866	77
867	87
868	87
869	76
870	69
871	75
872	78
873	88
874	94
875	101
876	82
877	87
878	79
879	85
880	82
881	81
882	86
883	74
884	88
885	93
886	86
887	102
888	75
889	102
890	82
891	79
892	84
893	91
894	84
895	86
896	100
897	84
898	76
899	106
900	83
901	90
902	82
903	92
904	79
905	91
906	79
907	84
908	96
909	88
910	80
911	96
912	77
913	83
914	88
915	89
916	107
917	85
918	86
919	92
920	86
921	99
922	93
923	102
924	85
925	99
926	85
927	110
928	83
929	96
930	91
931	92
932	96
933	90
934	64
935	92
936	76
937	86
938	93
939	109
940	118
941	82
942	98
943	100
944	86
945	96
946	95
947	104
948	94
949	98
950	91
951	102
952	102
953	90
954	98
955	95
956	99
957	98
958	113
959	82
960	90
961	91
962	101
963	105
964	85
965	108
966	88
967	105
968	90
969	98
970	90
971	94
972	112
973	104
974	93
975	106
976	99
977	88
978	101
979	122
980	97
981	108
982	98
983	95
984	102
985	98
986	119
987	90
988	87
989	107
990	102
991	89
992	88
993	96
994	101
995	107
996	98
997	103
998	95
999	109
1000	121
1001	104
1002	90
1003	101
1004	102
1005	96
1006	117
1007	107
1008	111
1009	106
1010	99
1011	105
1012	123
1013	114
1014	128
1015	112
1016	122
1017	91
1018	105
1019	103
1020	114
1021	107
1022	105
1023	103
1024	0
