K	N
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	1
82	3
83	3
84	3
85	6
86	6
87	5
88	2
89	5
90	3
91	3
92	0
93	4
94	2
95	5
96	6
97	2
98	4
99	0
100	3
101	0
102	4
103	3
104	6
105	1
106	3
107	3
108	4
109	4
110	3
111	2
112	3
113	6
114	5
115	2
116	2
117	2
118	9
119	5
120	5
121	2
122	0
123	3
124	2
125	3
126	6
127	4
128	5
129	4
130	3
131	4
132	5
133	2
134	0
135	1
136	3
137	4
138	6
139	2
140	1
141	0
142	6
143	4
144	6
145	4
146	3
147	6
148	5
149	6
150	7
151	4
152	3
153	2
154	4
155	3
156	2
157	2
158	3
159	2
160	4
161	5
162	4
163	3
164	4
165	5
166	1
167	1
168	4
169	4
170	1
171	1
172	4
173	5
174	7
175	5
176	5
177	3
178	2
179	5
180	2
181	2
182	2
183	5
184	1
185	6
186	1
187	1
188	3
189	4
190	3
191	1
192	6
193	4
194	4
195	4
196	5
197	3
198	6
199	2
200	5
201	5
202	2
203	4
204	4
205	3
206	5
207	2
208	2
209	3
210	4
211	8
212	6
213	7
214	3
215	2
216	4
217	3
218	4
219	2
220	2
221	2
222	4
223	2
224	9
225	2
226	3
227	4
228	4
229	7
230	5
231	3
232	3
233	5
234	13
235	3
236	2
237	2
238	7
239	9
240	7
241	0
242	4
243	7
244	9
245	5
246	3
247	9
248	5
249	8
250	7
251	3
252	8
253	12
254	3
255	7
256	4
257	6
258	6
259	7
260	12
261	12
262	2
263	11
264	6
265	11
266	8
267	1
268	3
269	7
270	11
271	7
272	6
273	7
274	10
275	7
276	9
277	8
278	8
279	8
280	12
