K	N
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	8
82	4
83	5
84	1
85	5
86	2
87	6
88	2
89	7
90	3
91	7
92	1
93	2
94	3
95	3
96	4
97	5
98	0
99	2
100	3
101	0
102	2
103	2
104	3
105	3
106	2
107	1
108	5
109	1
110	2
111	3
112	3
113	3
114	6
115	3
116	1
117	5
118	3
119	3
120	2
121	5
122	4
123	3
124	2
125	1
126	5
127	3
128	3
129	5
130	2
131	0
132	6
133	2
134	5
135	7
136	4
137	3
138	2
139	4
140	4
141	3
142	5
143	4
144	5
145	3
146	3
147	7
148	4
149	4
150	3
151	5
152	4
153	3
154	3
155	3
156	3
157	1
158	3
159	3
160	7
161	3
162	1
163	5
164	2
165	6
166	2
167	3
168	1
169	2
170	2
171	5
172	3
173	0
174	2
175	3
176	3
177	1
178	2
179	3
180	1
181	11
182	3
183	2
184	4
185	3
186	3
187	2
188	4
189	2
190	1
191	4
192	2
193	0
194	3
195	2
196	3
197	5
198	2
199	6
200	7
201	4
202	3
203	3
204	4
205	3
206	2
207	1
208	6
209	2
210	2
211	2
212	3
213	5
214	3
215	4
216	3
217	3
218	5
219	2
220	3
221	3
222	2
223	3
224	3
225	2
226	4
227	5
228	7
229	5
230	4
231	6
232	6
233	8
234	5
235	3
236	2
237	4
238	2
239	3
240	7
241	0
242	5
243	4
244	2
245	1
246	3
247	4
248	3
249	7
250	4
251	2
252	4
253	3
254	0
255	3
256	8
257	5
258	5
259	3
260	8
261	5
262	6
263	7
264	8
265	2
266	12
267	4
268	7
269	4
270	8
271	3
272	4
273	7
274	5
275	5
276	5
277	5
278	4
279	2
280	3
