K	N
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	1
82	7
83	6
84	3
85	1
86	7
87	1
88	5
89	6
90	3
91	1
92	3
93	4
94	4
95	6
96	2
97	4
98	6
99	2
100	3
101	2
102	1
103	2
104	0
105	3
106	6
107	2
108	4
109	7
110	6
111	4
112	2
113	4
114	4
115	4
116	6
117	1
118	10
119	5
120	1
121	2
122	3
123	6
124	5
125	1
126	4
127	4
128	3
129	3
130	8
131	4
132	2
133	4
134	6
135	2
136	1
137	1
138	4
139	4
140	8
141	3
142	2
143	5
144	1
145	1
146	6
147	5
148	3
149	5
150	3
151	3
152	3
153	4
154	5
155	6
156	3
157	4
158	3
159	3
160	6
161	2
162	5
163	7
164	6
165	4
166	10
167	1
168	3
169	3
170	1
171	3
172	3
173	3
174	4
175	1
176	1
177	6
178	3
179	3
180	6
181	4
182	2
183	3
184	3
185	3
186	8
187	4
188	2
189	3
190	5
191	2
192	3
193	4
194	0
195	3
196	6
197	3
198	6
199	0
200	3
201	4
202	4
203	8
204	3
205	7
206	2
207	2
208	3
209	7
210	8
211	3
212	4
213	4
214	3
215	2
216	3
217	3
218	3
219	5
220	6
221	3
222	3
223	8
224	4
225	5
226	2
227	2
228	5
229	4
230	7
231	3
232	5
233	2
234	8
235	3
236	3
237	7
238	6
239	7
240	5
241	7
242	10
243	4
244	9
245	2
246	4
247	13
248	3
249	5
250	5
251	7
252	6
253	5
254	5
255	4
256	7
257	6
258	9
259	4
260	5
261	10
262	11
263	5
264	4
265	12
266	4
267	8
268	6
269	7
270	5
271	7
272	13
273	6
274	5
275	8
276	12
277	13
278	6
279	6
280	7
