K	N
800	8
801	8
802	11
803	8
804	9
805	7
806	8
807	9
808	10
809	7
810	8
811	6
812	10
813	9
814	8
815	6
816	8
817	6
818	10
819	10
820	8
821	10
822	11
823	3
824	16
825	10
826	11
827	9
828	9
829	4
830	5
831	8
832	10
833	8
834	12
835	9
836	10
837	11
838	10
839	13
840	8
841	12
842	6
843	8
844	7
845	10
846	7
847	13
848	10
849	4
850	13
851	9
852	12
853	7
854	10
855	7
856	11
857	10
858	11
859	11
860	10
861	11
862	7
863	11
864	7
865	10
866	14
867	8
868	7
869	9
870	11
871	5
872	3
873	9
874	16
875	5
876	2
877	5
878	11
879	11
880	14
881	7
882	16
883	12
884	11
885	13
886	10
887	9
888	19
889	6
890	11
891	9
892	6
893	15
894	14
895	16
896	9
897	12
898	12
899	9
900	9
901	11
902	12
903	12
904	11
905	10
906	10
907	8
908	8
909	13
910	7
911	7
912	10
913	9
914	16
915	7
916	9
917	8
918	16
919	3
920	15
921	12
922	11
923	12
924	9
925	9
926	8
927	7
928	14
929	9
930	17
931	11
932	5
933	17
934	6
935	13
936	16
937	17
938	11
939	14
940	19
941	16
942	9
943	10
944	10
945	12
946	16
947	15
948	18
949	11
950	14
951	18
952	12
953	13
954	19
955	15
956	19
957	20
958	15
959	22
960	16
961	12
962	13
963	13
964	7
965	17
966	14
967	10
968	19
969	16
970	19
971	16
972	23
973	14
974	14
975	13
976	13
977	17
978	21
979	15
980	24
981	18
982	17
983	18
984	16
985	23
986	15
987	6
988	23
989	22
990	34
991	17
992	19
993	18
994	23
995	18
996	20
997	20
998	17
999	31
1000	25
1001	22
1002	20
1003	18
1004	20
1005	26
1006	23
1007	25
1008	17
1009	21
1010	22
1011	23
1012	13
1013	31
1014	25
1015	19
1016	15
1017	28
1018	22
1019	23
1020	22
1021	28
1022	18
1023	27
1024	0
