K	N
800	23
801	29
802	30
803	27
804	19
805	23
806	23
807	22
808	26
809	24
810	15
811	20
812	28
813	25
814	27
815	18
816	25
817	15
818	28
819	23
820	24
821	19
822	25
823	30
824	25
825	29
826	22
827	29
828	24
829	22
830	22
831	23
832	25
833	24
834	27
835	23
836	30
837	15
838	24
839	21
840	19
841	26
842	32
843	29
844	26
845	31
846	24
847	28
848	28
849	34
850	18
851	24
852	25
853	21
854	25
855	33
856	33
857	30
858	28
859	33
860	27
861	30
862	33
863	35
864	22
865	27
866	29
867	25
868	28
869	17
870	27
871	29
872	23
873	23
874	23
875	31
876	30
877	31
878	29
879	23
880	26
881	30
882	31
883	30
884	24
885	19
886	35
887	31
888	41
889	22
890	34
891	23
892	31
893	25
894	30
895	31
896	36
897	29
898	35
899	39
900	29
901	33
902	37
903	28
904	32
905	37
906	34
907	28
908	31
909	34
910	41
911	42
912	29
913	30
914	41
915	31
916	42
917	30
918	35
919	37
920	37
921	31
922	32
923	39
924	29
925	39
926	39
927	33
928	36
929	38
930	43
931	39
932	43
933	37
934	42
935	41
936	46
937	37
938	49
939	44
940	46
941	45
942	44
943	34
944	36
945	36
946	51
947	44
948	49
949	51
950	43
951	33
952	36
953	44
954	53
955	43
956	37
957	39
958	44
959	42
960	39
961	43
962	55
963	50
964	45
965	42
966	64
967	60
968	47
969	50
970	59
971	50
972	42
973	49
974	72
975	52
976	55
977	37
978	54
979	56
980	51
981	46
982	61
983	52
984	69
985	56
986	52
987	56
988	72
989	65
990	62
991	58
992	86
993	61
994	75
995	63
996	66
997	65
998	68
999	57
1000	60
1001	70
1002	82
1003	62
1004	71
1005	79
1006	67
1007	60
1008	95
1009	76
1010	76
1011	69
1012	74
1013	87
1014	70
1015	65
1016	85
1017	81
1018	80
1019	70
1020	96
1021	86
1022	78
1023	74
1024	0
