K	N
800	23
801	22
802	26
803	18
804	18
805	16
806	24
807	17
808	20
809	27
810	18
811	17
812	22
813	23
814	23
815	22
816	22
817	20
818	20
819	26
820	19
821	18
822	29
823	25
824	19
825	24
826	25
827	25
828	32
829	22
830	26
831	26
832	23
833	17
834	25
835	16
836	21
837	33
838	12
839	26
840	18
841	26
842	14
843	16
844	30
845	20
846	22
847	20
848	21
849	29
850	23
851	27
852	25
853	21
854	25
855	20
856	29
857	21
858	22
859	19
860	26
861	23
862	32
863	23
864	29
865	23
866	26
867	35
868	24
869	23
870	24
871	28
872	28
873	27
874	23
875	31
876	31
877	31
878	29
879	33
880	19
881	21
882	20
883	22
884	30
885	27
886	40
887	32
888	27
889	28
890	38
891	24
892	35
893	18
894	23
895	29
896	23
897	36
898	21
899	31
900	25
901	30
902	28
903	34
904	44
905	29
906	32
907	28
908	38
909	28
910	23
911	32
912	34
913	31
914	31
915	40
916	34
917	35
918	25
919	33
920	36
921	49
922	43
923	38
924	31
925	30
926	34
927	29
928	37
929	37
930	34
931	35
932	26
933	31
934	37
935	41
936	35
937	35
938	34
939	43
940	40
941	48
942	40
943	47
944	35
945	50
946	38
947	46
948	36
949	35
950	26
951	39
952	38
953	37
954	55
955	40
956	46
957	43
958	38
959	38
960	46
961	41
962	43
963	43
964	52
965	49
966	41
967	38
968	44
969	51
970	42
971	37
972	36
973	50
974	40
975	57
976	39
977	56
978	52
979	45
980	55
981	52
982	66
983	47
984	56
985	46
986	58
987	56
988	57
989	49
990	63
991	63
992	51
993	55
994	57
995	43
996	66
997	76
998	62
999	69
1000	65
1001	61
1002	59
1003	60
1004	47
1005	75
1006	60
1007	67
1008	66
1009	56
1010	75
1011	63
1012	64
1013	59
1014	61
1015	73
1016	78
1017	82
1018	75
1019	90
1020	77
1021	77
1022	91
1023	66
1024	0
