K	N
800	9
801	11
802	6
803	7
804	7
805	3
806	7
807	4
808	4
809	11
810	7
811	8
812	10
813	3
814	5
815	7
816	6
817	11
818	5
819	8
820	6
821	7
822	6
823	15
824	3
825	10
826	5
827	6
828	3
829	4
830	9
831	8
832	10
833	11
834	15
835	3
836	14
837	8
838	8
839	7
840	8
841	8
842	9
843	14
844	9
845	8
846	9
847	8
848	11
849	9
850	9
851	9
852	11
853	7
854	9
855	6
856	8
857	5
858	10
859	10
860	6
861	12
862	16
863	6
864	11
865	6
866	11
867	7
868	10
869	10
870	10
871	5
872	10
873	8
874	10
875	6
876	11
877	11
878	11
879	10
880	10
881	12
882	12
883	5
884	11
885	7
886	5
887	9
888	14
889	6
890	12
891	14
892	7
893	15
894	7
895	8
896	12
897	15
898	11
899	10
900	7
901	6
902	11
903	11
904	11
905	11
906	10
907	13
908	5
909	10
910	5
911	13
912	7
913	11
914	17
915	10
916	14
917	7
918	16
919	7
920	12
921	12
922	17
923	10
924	12
925	13
926	11
927	12
928	6
929	12
930	13
931	17
932	10
933	10
934	13
935	12
936	8
937	12
938	11
939	10
940	15
941	14
942	9
943	17
944	12
945	17
946	13
947	10
948	17
949	12
950	11
951	12
952	13
953	16
954	22
955	18
956	19
957	19
958	15
959	16
960	11
961	20
962	15
963	15
964	16
965	23
966	9
967	17
968	13
969	15
970	13
971	13
972	12
973	13
974	13
975	16
976	10
977	17
978	17
979	16
980	15
981	9
982	15
983	27
984	13
985	13
986	17
987	14
988	10
989	19
990	14
991	12
992	22
993	20
994	9
995	19
996	22
997	20
998	20
999	21
1000	20
1001	28
1002	12
1003	15
1004	18
1005	23
1006	20
1007	26
1008	21
1009	23
1010	22
1011	18
1012	22
1013	21
1014	19
1015	11
1016	26
1017	19
1018	21
1019	17
1020	17
1021	18
1022	23
1023	16
1024	0
