K	N
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	3
82	2
83	2
84	4
85	4
86	4
87	2
88	2
89	4
90	2
91	3
92	8
93	3
94	7
95	4
96	5
97	4
98	4
99	4
100	4
101	3
102	2
103	2
104	1
105	2
106	3
107	4
108	3
109	2
110	2
111	2
112	5
113	3
114	1
115	3
116	2
117	4
118	4
119	2
120	3
121	4
122	3
123	5
124	7
125	4
126	3
127	1
128	3
129	5
130	5
131	6
132	6
133	4
134	2
135	7
136	8
137	2
138	4
139	3
140	7
141	2
142	8
143	6
144	3
145	4
146	3
147	1
148	1
149	3
150	3
151	4
152	2
153	2
154	6
155	5
156	6
157	3
158	2
159	3
160	3
161	3
162	3
163	3
164	3
165	4
166	6
167	5
168	2
169	2
170	4
171	3
172	4
173	6
174	0
175	3
176	3
177	2
178	3
179	3
180	3
181	3
182	3
183	4
184	2
185	7
186	7
187	4
188	5
189	0
190	3
191	3
192	3
193	3
194	3
195	2
196	6
197	5
198	2
199	4
200	1
201	4
202	1
203	4
204	1
205	3
206	5
207	6
208	2
209	2
210	5
211	3
212	3
213	3
214	2
215	5
216	1
217	1
218	1
219	2
220	6
221	3
222	5
223	2
224	3
225	3
226	3
227	3
228	4
229	3
230	2
231	2
232	4
233	1
234	5
235	4
236	4
237	3
238	3
239	3
240	3
241	4
242	5
243	4
244	1
245	4
246	4
247	3
248	2
249	4
250	4
251	3
252	2
253	0
254	3
255	4
256	2
257	4
258	2
259	8
260	8
261	3
262	5
263	3
264	0
265	2
266	3
267	3
268	1
269	2
270	1
271	5
272	4
273	6
274	3
275	2
276	5
277	3
278	4
279	4
280	1
