K	N
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	4
82	5
83	3
84	1
85	1
86	1
87	7
88	6
89	7
90	6
91	3
92	2
93	3
94	3
95	6
96	8
97	5
98	7
99	8
100	3
101	2
102	4
103	4
104	4
105	1
106	1
107	1
108	3
109	3
110	1
111	3
112	2
113	3
114	4
115	4
116	5
117	5
118	5
119	6
120	2
121	4
122	1
123	2
124	2
125	2
126	4
127	3
128	5
129	2
130	6
131	2
132	2
133	3
134	6
135	7
136	6
137	5
138	4
139	4
140	4
141	4
142	3
143	3
144	4
145	3
146	3
147	2
148	6
149	3
150	1
151	5
152	4
153	10
154	2
155	3
156	5
157	2
158	5
159	3
160	3
161	5
162	2
163	4
164	3
165	5
166	6
167	5
168	2
169	7
170	6
171	3
172	6
173	2
174	4
175	3
176	4
177	1
178	5
179	4
180	3
181	3
182	4
183	7
184	6
185	3
186	2
187	3
188	2
189	1
190	4
191	4
192	4
193	8
194	0
195	2
196	3
197	3
198	2
199	6
200	3
201	4
202	3
203	2
204	6
205	4
206	2
207	4
208	6
209	1
210	4
211	1
212	2
213	4
214	1
215	7
216	4
217	7
218	5
219	3
220	6
221	7
222	6
223	5
224	2
225	7
226	6
227	3
228	3
229	2
230	5
231	7
232	5
233	3
234	4
235	3
236	4
237	3
238	8
239	4
240	7
241	8
242	5
243	4
244	5
245	2
246	8
247	5
248	5
249	1
250	2
251	4
252	4
253	6
254	9
255	2
256	3
257	5
258	3
259	8
260	6
261	7
262	6
263	7
264	12
265	7
266	9
267	6
268	9
269	6
270	10
271	2
272	10
273	4
274	3
275	11
276	8
277	3
278	3
279	7
280	9
