K	N
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	5
82	3
83	3
84	2
85	2
86	2
87	2
88	2
89	3
90	5
91	7
92	4
93	2
94	5
95	5
96	5
97	5
98	1
99	3
100	2
101	4
102	2
103	0
104	1
105	4
106	9
107	3
108	5
109	2
110	4
111	1
112	2
113	2
114	3
115	7
116	2
117	4
118	2
119	3
120	7
121	3
122	2
123	4
124	6
125	0
126	2
127	2
128	1
129	2
130	2
131	6
132	2
133	0
134	6
135	4
136	6
137	2
138	3
139	2
140	5
141	7
142	1
143	5
144	6
145	5
146	2
147	4
148	3
149	2
150	1
151	3
152	4
153	2
154	5
155	3
156	3
157	1
158	5
159	5
160	0
161	4
162	2
163	8
164	5
165	2
166	4
167	7
168	2
169	8
170	5
171	5
172	3
173	3
174	3
175	2
176	4
177	1
178	2
179	2
180	1
181	1
182	3
183	1
184	2
185	3
186	2
187	4
188	5
189	1
190	3
191	4
192	6
193	2
194	1
195	5
196	1
197	2
198	3
199	1
200	0
201	9
202	1
203	4
204	8
205	6
206	1
207	2
208	1
209	3
210	6
211	1
212	0
213	6
214	1
215	2
216	3
217	6
218	3
219	4
220	3
221	3
222	3
223	2
224	4
225	3
226	2
227	5
228	1
229	5
230	2
231	2
232	1
233	4
234	2
235	4
236	4
237	6
238	3
239	5
240	3
241	1
242	3
243	3
244	6
245	6
246	1
247	2
248	3
249	5
250	1
251	3
252	2
253	5
254	3
255	3
256	10
257	3
258	1
259	2
260	5
261	1
262	5
263	5
264	3
265	5
266	8
267	4
268	2
269	2
270	2
271	6
272	3
273	3
274	5
275	5
276	2
277	6
278	2
279	6
280	3
