K	N
800	14
801	5
802	6
803	7
804	8
805	13
806	10
807	6
808	7
809	7
810	12
811	8
812	10
813	7
814	8
815	6
816	5
817	9
818	8
819	6
820	7
821	6
822	12
823	5
824	4
825	8
826	8
827	11
828	4
829	2
830	11
831	10
832	8
833	6
834	10
835	8
836	7
837	4
838	11
839	7
840	4
841	8
842	9
843	5
844	5
845	5
846	6
847	5
848	10
849	8
850	12
851	7
852	15
853	11
854	8
855	13
856	6
857	9
858	8
859	7
860	9
861	5
862	8
863	7
864	10
865	6
866	9
867	6
868	14
869	10
870	15
871	6
872	9
873	5
874	10
875	3
876	8
877	15
878	11
879	5
880	11
881	10
882	9
883	11
884	7
885	11
886	6
887	14
888	12
889	11
890	10
891	7
892	13
893	8
894	12
895	10
896	7
897	11
898	5
899	9
900	15
901	5
902	10
903	8
904	9
905	6
906	12
907	14
908	15
909	10
910	11
911	7
912	8
913	13
914	5
915	12
916	12
917	11
918	9
919	7
920	17
921	13
922	14
923	6
924	11
925	10
926	13
927	6
928	9
929	12
930	10
931	16
932	16
933	12
934	14
935	7
936	16
937	12
938	16
939	20
940	11
941	10
942	10
943	16
944	6
945	12
946	16
947	11
948	25
949	15
950	15
951	13
952	14
953	13
954	10
955	10
956	18
957	8
958	17
959	11
960	20
961	12
962	15
963	15
964	23
965	18
966	14
967	17
968	17
969	17
970	22
971	16
972	16
973	17
974	14
975	16
976	16
977	12
978	11
979	24
980	16
981	22
982	19
983	14
984	23
985	19
986	23
987	18
988	15
989	15
990	20
991	17
992	19
993	12
994	19
995	17
996	17
997	19
998	16
999	20
1000	19
1001	20
1002	14
1003	13
1004	18
1005	23
1006	22
1007	21
1008	15
1009	14
1010	19
1011	22
1012	13
1013	25
1014	19
1015	20
1016	20
1017	21
1018	19
1019	22
1020	27
1021	15
1022	31
1023	15
1024	0
