K	N
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	1
82	4
83	5
84	4
85	5
86	2
87	5
88	3
89	2
90	1
91	2
92	5
93	1
94	2
95	3
96	1
97	2
98	3
99	3
100	2
101	2
102	3
103	2
104	3
105	7
106	1
107	4
108	5
109	3
110	3
111	0
112	8
113	4
114	1
115	2
116	3
117	4
118	3
119	3
120	8
121	6
122	2
123	3
124	5
125	6
126	7
127	3
128	4
129	5
130	4
131	4
132	3
133	2
134	3
135	6
136	5
137	4
138	3
139	4
140	1
141	3
142	5
143	2
144	3
145	3
146	3
147	4
148	2
149	2
150	3
151	7
152	4
153	3
154	2
155	5
156	3
157	7
158	7
159	5
160	5
161	6
162	1
163	4
164	3
165	1
166	7
167	4
168	3
169	6
170	4
171	5
172	5
173	3
174	6
175	6
176	4
177	5
178	3
179	2
180	3
181	1
182	2
183	1
184	4
185	4
186	4
187	2
188	2
189	6
190	4
191	3
192	5
193	1
194	3
195	1
196	4
197	2
198	1
199	4
200	2
201	5
202	4
203	3
204	4
205	2
206	3
207	1
208	8
209	3
210	6
211	3
212	3
213	5
214	2
215	4
216	3
217	3
218	5
219	3
220	5
221	6
222	3
223	3
224	4
225	4
226	4
227	6
228	7
229	3
230	3
231	0
232	1
233	4
234	3
235	4
236	7
237	2
238	9
239	6
240	4
241	7
242	5
243	3
244	4
245	3
246	4
247	5
248	6
249	4
250	4
251	8
252	5
253	9
254	4
255	5
256	7
257	6
258	2
259	7
260	6
261	8
262	2
263	8
264	10
265	5
266	6
267	5
268	6
269	4
270	2
271	5
272	13
273	5
274	5
275	7
276	7
277	7
278	8
279	6
280	11
