K	N
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	4
82	4
83	4
84	8
85	1
86	2
87	3
88	2
89	3
90	5
91	2
92	5
93	3
94	4
95	2
96	2
97	3
98	1
99	3
100	3
101	4
102	4
103	3
104	4
105	3
106	3
107	2
108	4
109	3
110	2
111	7
112	4
113	2
114	6
115	4
116	1
117	1
118	6
119	4
120	2
121	6
122	7
123	3
124	5
125	3
126	5
127	4
128	4
129	6
130	2
131	2
132	6
133	2
134	3
135	1
136	1
137	5
138	4
139	6
140	2
141	6
142	2
143	3
144	2
145	6
146	2
147	2
148	3
149	2
150	2
151	6
152	0
153	5
154	3
155	1
156	6
157	6
158	3
159	4
160	3
161	4
162	5
163	8
164	4
165	3
166	0
167	5
168	6
169	1
170	3
171	4
172	6
173	5
174	4
175	3
176	2
177	3
178	5
179	4
180	3
181	3
182	2
183	2
184	2
185	4
186	8
187	2
188	2
189	5
190	6
191	5
192	4
193	3
194	7
195	3
196	6
197	2
198	6
199	2
200	5
201	4
202	3
203	3
204	2
205	0
206	5
207	3
208	6
209	4
210	1
211	2
212	1
213	2
214	2
215	2
216	3
217	5
218	4
219	3
220	1
221	3
222	2
223	3
224	3
225	5
226	2
227	6
228	2
229	4
230	1
231	4
232	3
233	2
234	1
235	7
236	2
237	4
238	2
239	6
240	4
241	7
242	1
243	6
244	3
245	7
246	4
247	2
248	1
249	0
250	3
251	2
252	6
253	5
254	3
255	6
256	2
257	7
258	4
259	4
260	6
261	3
262	6
263	4
264	6
265	3
266	6
267	8
268	6
269	8
270	6
271	8
272	6
273	12
274	7
275	10
276	1
277	9
278	10
279	6
280	2
