K	N
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	3
82	4
83	4
84	3
85	2
86	3
87	6
88	3
89	2
90	5
91	2
92	1
93	5
94	4
95	3
96	3
97	1
98	2
99	5
100	1
101	7
102	3
103	3
104	2
105	6
106	8
107	3
108	2
109	10
110	1
111	2
112	3
113	4
114	5
115	7
116	4
117	3
118	3
119	1
120	3
121	3
122	5
123	6
124	4
125	3
126	7
127	2
128	6
129	3
130	2
131	7
132	2
133	5
134	2
135	4
136	4
137	4
138	4
139	2
140	4
141	3
142	5
143	4
144	6
145	2
146	5
147	5
148	1
149	3
150	2
151	4
152	4
153	1
154	5
155	7
156	2
157	2
158	2
159	5
160	2
161	3
162	4
163	8
164	3
165	1
166	3
167	3
168	2
169	5
170	4
171	4
172	6
173	0
174	6
175	1
176	1
177	3
178	5
179	1
180	4
181	3
182	3
183	4
184	4
185	3
186	2
187	2
188	3
189	5
190	1
191	3
192	4
193	6
194	4
195	6
196	3
197	2
198	3
199	2
200	3
201	2
202	6
203	2
204	2
205	7
206	5
207	2
208	2
209	2
210	7
211	6
212	2
213	8
214	2
215	6
216	3
217	2
218	2
219	3
220	4
221	2
222	4
223	3
224	2
225	7
226	3
227	0
228	1
229	3
230	1
231	0
232	3
233	3
234	4
235	3
236	5
237	4
238	4
239	1
240	4
241	7
242	3
243	5
244	5
245	4
246	7
247	3
248	3
249	5
250	4
251	2
252	4
253	3
254	7
255	6
256	5
257	6
258	5
259	5
260	1
261	2
262	5
263	3
264	7
265	5
266	5
267	3
268	4
269	5
270	7
271	5
272	10
273	3
274	5
275	6
276	4
277	4
278	7
279	6
280	4
