K	N
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	2
82	4
83	4
84	1
85	3
86	1
87	5
88	4
89	2
90	3
91	5
92	3
93	4
94	6
95	4
96	1
97	5
98	1
99	2
100	2
101	2
102	2
103	2
104	3
105	1
106	3
107	2
108	0
109	2
110	2
111	4
112	2
113	3
114	3
115	5
116	3
117	5
118	4
119	9
120	7
121	4
122	8
123	6
124	3
125	3
126	4
127	8
128	4
129	8
130	7
131	4
132	1
133	4
134	3
135	3
136	5
137	4
138	6
139	4
140	3
141	5
142	5
143	1
144	3
145	4
146	3
147	2
148	4
149	3
150	2
151	3
152	0
153	3
154	3
155	6
156	2
157	2
158	1
159	1
160	2
161	3
162	8
163	6
164	6
165	4
166	4
167	5
168	3
169	4
170	0
171	5
172	3
173	1
174	2
175	2
176	6
177	0
178	0
179	3
180	1
181	0
182	1
183	3
184	3
185	4
186	5
187	2
188	4
189	2
190	4
191	6
192	2
193	3
194	1
195	2
196	2
197	3
198	2
199	2
200	3
201	1
202	2
203	5
204	2
205	10
206	3
207	2
208	3
209	1
210	2
211	4
212	3
213	6
214	4
215	1
216	1
217	5
218	4
219	0
220	3
221	3
222	3
223	3
224	4
225	1
226	3
227	1
228	1
229	5
230	2
231	3
232	3
233	4
234	1
235	3
236	4
237	2
238	3
239	6
240	3
241	4
242	1
243	3
244	2
245	3
246	0
247	5
248	5
249	3
250	5
251	2
252	3
253	3
254	4
255	5
256	4
257	1
258	2
259	5
260	2
261	2
262	5
263	3
264	1
265	3
266	3
267	0
268	4
269	5
270	8
271	2
272	3
273	6
274	4
275	3
276	5
277	4
278	2
279	1
280	4
