K	N
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	5
82	2
83	3
84	5
85	5
86	3
87	5
88	3
89	8
90	5
91	3
92	1
93	1
94	0
95	4
96	7
97	4
98	6
99	4
100	4
101	4
102	4
103	1
104	7
105	3
106	1
107	2
108	2
109	3
110	3
111	5
112	5
113	5
114	3
115	5
116	6
117	4
118	5
119	2
120	3
121	4
122	2
123	0
124	1
125	4
126	3
127	4
128	6
129	4
130	6
131	2
132	2
133	3
134	6
135	4
136	5
137	4
138	6
139	3
140	4
141	7
142	5
143	4
144	4
145	3
146	5
147	5
148	2
149	4
150	6
151	6
152	0
153	2
154	3
155	2
156	4
157	5
158	4
159	2
160	3
161	7
162	4
163	1
164	5
165	3
166	3
167	5
168	4
169	5
170	7
171	4
172	5
173	6
174	1
175	3
176	6
177	3
178	4
179	6
180	2
181	5
182	6
183	2
184	4
185	5
186	4
187	5
188	1
189	4
190	1
191	4
192	7
193	3
194	3
195	2
196	4
197	4
198	3
199	4
200	5
201	5
202	7
203	5
204	2
205	0
206	6
207	4
208	7
209	6
210	5
211	2
212	6
213	5
214	2
215	5
216	5
217	7
218	3
219	3
220	3
221	4
222	4
223	5
224	4
225	6
226	2
227	6
228	4
229	8
230	6
231	6
232	5
233	1
234	6
235	8
236	4
237	3
238	3
239	2
240	5
241	8
242	5
243	7
244	10
245	5
246	3
247	9
248	9
249	6
250	5
251	5
252	2
253	7
254	5
255	2
256	3
257	9
258	6
259	2
260	7
261	14
262	12
263	5
264	6
265	9
266	7
267	4
268	8
269	3
270	4
271	9
272	6
273	3
274	3
275	4
276	3
277	5
278	7
279	2
280	8
