K	N
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	3
82	7
83	2
84	2
85	5
86	2
87	8
88	2
89	5
90	5
91	1
92	1
93	6
94	2
95	6
96	2
97	1
98	0
99	4
100	2
101	4
102	2
103	3
104	3
105	3
106	5
107	6
108	5
109	7
110	4
111	5
112	2
113	6
114	5
115	2
116	1
117	4
118	3
119	4
120	3
121	3
122	5
123	1
124	0
125	4
126	5
127	3
128	0
129	3
130	2
131	2
132	2
133	3
134	3
135	6
136	4
137	0
138	1
139	5
140	1
141	4
142	2
143	1
144	3
145	5
146	0
147	8
148	7
149	5
150	4
151	5
152	7
153	3
154	3
155	1
156	3
157	4
158	5
159	4
160	1
161	5
162	2
163	4
164	1
165	4
166	8
167	3
168	1
169	5
170	4
171	0
172	6
173	4
174	2
175	2
176	6
177	5
178	4
179	5
180	1
181	4
182	0
183	6
184	6
185	3
186	3
187	5
188	8
189	1
190	3
191	6
192	6
193	3
194	4
195	3
196	3
197	9
198	6
199	7
200	4
201	3
202	7
203	5
204	4
205	7
206	6
207	4
208	5
209	6
210	7
211	3
212	8
213	8
214	5
215	5
216	5
217	4
218	6
219	3
220	4
221	7
222	5
223	5
224	5
225	6
226	3
227	5
228	6
229	8
230	7
231	7
232	13
233	5
234	4
235	6
236	6
237	5
238	6
239	6
240	4
241	4
242	4
243	4
244	5
245	6
246	11
247	7
248	6
249	4
250	9
251	6
252	9
253	8
254	8
255	6
256	10
257	7
258	8
259	6
260	10
261	6
262	6
263	3
264	6
265	3
266	7
267	2
268	2
269	5
270	6
271	3
272	6
273	5
274	3
275	3
276	2
277	5
278	4
279	6
280	6
