K	N
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	4
82	1
83	3
84	1
85	0
86	3
87	2
88	2
89	4
90	4
91	2
92	6
93	1
94	2
95	1
96	3
97	6
98	1
99	2
100	6
101	2
102	6
103	0
104	5
105	3
106	0
107	3
108	3
109	1
110	7
111	1
112	5
113	3
114	2
115	3
116	4
117	7
118	3
119	2
120	5
121	1
122	1
123	1
124	3
125	1
126	6
127	0
128	3
129	1
130	2
131	1
132	7
133	2
134	3
135	3
136	1
137	3
138	2
139	3
140	3
141	2
142	2
143	4
144	2
145	2
146	3
147	3
148	5
149	3
150	4
151	5
152	5
153	2
154	6
155	3
156	1
157	5
158	1
159	6
160	6
161	5
162	3
163	3
164	4
165	6
166	9
167	4
168	3
169	4
170	2
171	5
172	6
173	3
174	4
175	4
176	3
177	4
178	1
179	2
180	4
181	1
182	4
183	11
184	1
185	2
186	5
187	2
188	1
189	1
190	5
191	3
192	5
193	1
194	0
195	3
196	1
197	6
198	6
199	2
200	3
201	4
202	2
203	4
204	2
205	3
206	2
207	5
208	8
209	3
210	2
211	1
212	2
213	6
214	6
215	2
216	2
217	6
218	5
219	4
220	4
221	3
222	3
223	6
224	1
225	2
226	1
227	3
228	1
229	4
230	3
231	5
232	3
233	4
234	3
235	4
236	2
237	1
238	3
239	3
240	4
241	2
242	2
243	3
244	4
245	5
246	3
247	1
248	3
249	4
250	2
251	3
252	4
253	4
254	2
255	2
256	3
257	2
258	3
259	5
260	3
261	5
262	4
263	8
264	1
265	2
266	3
267	7
268	6
269	3
270	6
271	2
272	4
273	7
274	7
275	4
276	1
277	3
278	3
279	2
280	1
