K	N
732	1366
733	1232
734	1133
735	1020
736	950
737	824
738	774
739	645
740	597
741	508
742	533
743	450
744	385
745	391
746	353
747	289
748	287
749	253
750	201
751	196
752	174
753	169
754	150
755	134
756	111
757	91
758	86
759	96
760	68
761	81
762	72
763	63
764	61
765	60
766	60
767	45
768	37
769	37
770	31
771	37
772	32
773	35
774	22
775	34
776	23
777	25
778	32
779	20
780	17
781	19
782	19
783	21
784	21
785	11
786	22
787	20
788	19
789	26
790	8
791	18
792	8
793	12
794	16
795	11
796	17
797	22
798	27
799	15
800	18
801	13
802	14
803	21
804	17
805	9
806	23
807	20
808	19
809	16
810	12
811	10
812	18
813	12
814	19
815	13
816	8
817	14
818	19
819	19
820	11
821	13
822	13
823	13
824	16
825	6
826	9
827	19
828	12
829	13
830	14
831	21
832	17
833	14
834	13
835	18
836	16
837	17
838	14
839	10
840	10
841	18
842	12
843	11
844	15
845	13
846	21
847	18
848	18
849	17
850	11
851	15
852	12
853	14
854	11
855	9
856	12
857	16
858	13
859	20
860	14
861	17
862	18
863	10
864	13
865	16
866	15
867	18
868	13
869	15
870	19
871	20
872	14
873	20
874	16
875	13
876	17
877	14
878	18
879	12
880	14
881	23
882	28
883	24
884	26
885	13
886	15
887	22
888	11
889	22
890	19
891	18
892	17
893	21
894	23
895	21
896	24
897	19
898	27
899	26
900	22
901	26
902	20
903	15
904	21
905	27
906	25
907	27
908	21
909	19
910	22
911	24
912	26
913	26
914	24
915	31
916	28
917	33
918	30
919	34
920	24
921	33
922	28
923	23
924	24
925	26
926	28
927	36
928	25
929	18
930	24
931	29
932	35
933	28
934	32
935	32
936	27
937	33
938	37
939	32
940	34
941	27
942	38
943	34
944	29
945	27
946	38
947	34
948	39
949	51
950	35
951	43
952	36
953	43
954	47
955	40
956	45
957	45
958	45
959	42
960	35
961	49
962	33
963	50
964	41
965	45
966	54
967	46
968	32
969	49
970	46
971	58
972	49
973	47
974	49
975	47
976	59
977	46
978	71
979	51
