K	N
763	1008
764	990
765	1031
766	1026
767	1010
768	998
769	1054
770	1077
771	1052
772	1083
773	1099
774	1086
775	1147
776	1092
777	1150
778	1082
779	1102
780	1121
781	1113
782	1111
783	1101
784	1173
785	1181
786	1180
787	1231
788	1250
789	1168
790	1224
791	1208
792	1229
793	1198
794	1235
795	1275
796	1292
797	1351
798	1328
799	1368
800	1327
801	1363
802	1401
803	1417
804	1465
805	1557
806	1467
807	1513
808	1553
809	1527
810	1581
811	1477
812	1608
813	1625
814	1632
815	1687
816	1679
817	1743
818	1761
819	1811
820	1876
821	1761
822	1855
823	1847
824	1861
825	1923
826	1950
827	1991
828	1986
829	2070
830	2032
831	2116
832	2061
833	2145
834	2243
835	2193
836	2271
837	2232
838	2317
839	2398
840	2392
841	2412
842	2503
843	2498
844	2654
845	2632
846	2716
847	2737
848	2818
849	2778
850	2919
851	2890
852	2946
853	3044
854	3033
855	3115
856	3096
857	3158
858	3190
859	3272
860	3384
861	3347
862	3318
863	3572
864	3590
865	3560
866	3569
867	3642
868	3616
869	3833
870	3857
871	3816
872	3996
873	3898
874	4026
875	4120
876	3999
877	4303
878	4192
879	4185
880	4315
881	4442
882	4235
883	4352
884	4430
885	4428
886	4503
887	4479
888	4670
889	4592
890	4661
891	4700
892	4650
893	4635
894	4721
895	4681
896	4585
897	4518
898	4626
899	4734
900	4678
901	4594
902	4673
903	4700
904	4617
905	4589
906	4683
907	4631
908	4522
909	4579
910	4560
911	4443
912	4428
913	4446
914	4385
915	4500
916	4237
917	4255
918	4282
919	4306
920	4104
921	4276
922	4070
923	4082
924	3993
925	3930
926	3843
927	3884
928	3890
929	3740
930	3635
931	3590
932	3548
933	3481
934	3302
935	3375
936	3349
937	3159
938	3259
939	3050
940	3128
941	3025
942	2870
943	2874
944	2875
945	2902
946	2723
947	2782
948	2693
949	2583
950	2514
951	2543
952	2332
953	2373
954	2324
955	2314
956	2260
957	2154
958	2109
959	2025
960	2022
961	1921
962	1930
963	1909
964	1840
965	1824
966	1731
967	1790
968	1717
969	1694
970	1695
971	1559
972	1519
973	1483
974	1509
975	1531
976	1409
977	1439
978	1301
979	1375
980	1364
981	1241
982	1254
983	1180
984	1203
985	1219
986	1229
987	1198
988	1148
989	1080
990	1086
991	1071
992	1044
993	1007
994	1007
995	1020
996	1021
997	1002
998	967
999	943
1000	910
1001	964
1002	884
1003	909
1004	859
1005	889
1006	862
1007	912
1008	845
1009	842
1010	850
1011	824
1012	867
1013	822
1014	838
1015	793
1016	874
1017	851
1018	868
1019	772
1020	834
1021	785
1022	798
1023	816
1024	0
