K	N
800	65
801	66
802	72
803	73
804	71
805	54
806	41
807	56
808	62
809	67
810	51
811	48
812	63
813	66
814	58
815	63
816	61
817	61
818	73
819	53
820	65
821	57
822	62
823	72
824	73
825	60
826	44
827	75
828	59
829	49
830	65
831	74
832	66
833	72
834	54
835	64
836	55
837	59
838	65
839	66
840	83
841	59
842	63
843	64
844	55
845	58
846	64
847	64
848	73
849	57
850	68
851	60
852	50
853	50
854	63
855	72
856	68
857	69
858	67
859	56
860	61
861	75
862	74
863	70
864	66
865	77
866	73
867	62
868	66
869	68
870	89
871	65
872	64
873	62
874	68
875	78
876	62
877	76
878	78
879	74
880	91
881	69
882	62
883	78
884	65
885	79
886	72
887	71
888	79
889	67
890	76
891	60
892	65
893	72
894	76
895	68
896	62
897	65
898	71
899	67
900	72
901	74
902	73
903	70
904	60
905	77
906	78
907	81
908	75
909	82
910	86
911	80
912	89
913	81
914	79
915	89
916	82
917	93
918	82
919	87
920	87
921	79
922	93
923	71
924	84
925	88
926	90
927	83
928	86
929	87
930	83
931	98
932	70
933	96
934	88
935	81
936	99
937	109
938	82
939	78
940	75
941	91
942	92
943	85
944	84
945	103
946	95
947	97
948	87
949	105
950	86
951	92
952	102
953	102
954	97
955	82
956	86
957	97
958	88
959	111
960	90
961	84
962	94
963	85
964	100
965	77
966	100
967	85
968	87
969	74
970	92
971	84
972	92
973	109
974	87
975	96
976	85
977	93
978	84
979	116
980	79
981	96
982	89
983	78
984	100
985	102
986	81
987	94
988	98
989	108
990	97
991	109
992	87
993	95
994	84
995	111
996	97
997	108
998	91
999	99
1000	115
1001	90
1002	97
1003	101
1004	106
1005	103
1006	105
1007	109
1008	103
1009	106
1010	101
1011	105
1012	112
1013	99
1014	98
1015	105
1016	108
1017	112
1018	114
1019	113
1020	110
1021	114
1022	106
1023	90
1024	0
