

Values of Profile Profile Of mean of Gold_diffr.Pol
0.000	10.267
0.033	9.866
0.066	9.386
0.099	9.250
0.132	8.896
0.165	8.381
0.198	9.503
0.231	9.700
0.264	10.103
0.297	10.036
0.330	10.859
0.363	12.183
0.395	11.509
0.428	10.605
0.461	10.231
0.494	10.210
0.527	10.364
0.560	10.279
0.593	10.634
0.626	10.730
0.659	10.887
0.692	11.241
0.725	10.813
0.758	10.912
0.791	11.079
0.824	11.171
0.857	11.482
0.890	11.349
0.923	11.486
0.956	11.406
0.989	11.898
1.022	12.273
1.055	12.119
1.088	11.631
1.121	10.208
1.153	12.303
1.186	12.581
1.219	13.559
1.252	14.765
1.285	14.066
1.318	14.052
1.351	13.923
1.384	14.570
1.417	15.142
1.450	15.526
1.483	16.588
1.516	17.488
1.549	18.494
1.582	20.192
1.615	23.401
1.648	27.500
1.681	31.241
1.714	39.079
1.747	53.382
1.780	72.496
1.813	92.380
1.846	111.877
1.878	129.011
1.911	147.003
1.944	163.900
1.977	177.460
2.010	189.806
2.043	199.658
2.076	210.112
2.109	218.020
2.142	225.057
2.175	235.184
2.208	243.136
2.241	249.115
2.274	259.776
2.307	269.084
2.340	282.214
2.373	295.898
2.406	310.964
2.439	323.623
2.472	333.681
2.505	342.322
2.538	351.018
2.571	358.535
2.604	365.794
2.636	362.253
2.669	370.219
2.702	383.977
2.735	391.205
2.768	400.029
2.801	414.313
2.834	438.236
2.867	440.982
2.900	423.307
2.933	414.663
2.966	410.719
2.999	411.933
3.032	420.472
3.065	426.655
3.098	430.944
3.131	442.477
3.164	450.567
3.197	448.536
3.230	429.262
3.263	410.808
3.296	402.118
3.329	396.497
3.362	392.464
3.394	389.679
3.427	387.690
3.460	387.662
3.493	385.180
3.526	379.223
3.559	376.975
3.592	375.112
3.625	376.971
3.658	378.014
3.691	381.069
3.724	386.741
3.757	394.639
3.790	406.644
3.823	422.016
3.856	439.555
3.889	458.075
3.922	473.032
3.955	481.907
3.988	483.975
4.021	489.530
